TILKOMMUNE,TID,FRAKOMMUNE,ALDER,INDHOLD
København,2017,Koebenhavn,18 år,0
København,2017,Frederiksberg,18 år,62
København,2017,Dragoer,18 år,9
København,2017,Taernby,18 år,34
København,2017,Albertslund,18 år,12
København,2017,Ballerup,18 år,22
København,2017,Broendby,18 år,19
København,2017,Gentofte,18 år,62
København,2017,Gladsaxe,18 år,43
København,2017,Glostrup,18 år,9
København,2017,Herlev,18 år,15
København,2017,Hvidovre,18 år,22
København,2017,Hoeje-Taastrup,18 år,19
København,2017,Ishoej,18 år,9
København,2017,Lyngby-Taarbaek,18 år,22
København,2017,Roedovre,18 år,24
København,2017,Vallensbaek,18 år,7
København,2017,Alleroed,18 år,9
København,2017,Egedal,18 år,21
København,2017,Fredensborg,18 år,16
København,2017,Frederikssund,18 år,14
København,2017,Furesoe,18 år,18
København,2017,Gribskov,18 år,19
København,2017,Halsnaes,18 år,6
København,2017,Helsingoer,18 år,13
København,2017,Hilleroed,18 år,25
København,2017,Hoersholm,18 år,11
København,2017,Rudersdal,18 år,38
København,2017,Bornholm,18 år,9
København,2017,Christiansoe,18 år,1
København,2017,Greve,18 år,16
København,2017,Koege,18 år,11
København,2017,Lejre,18 år,3
København,2017,Roskilde,18 år,26
København,2017,Solroed,18 år,9
København,2017,Faxe,18 år,5
København,2017,Guldborgsund,18 år,5
København,2017,Holbaek,18 år,23
København,2017,Kalundborg,18 år,5
København,2017,Lolland,18 år,6
København,2017,Naestved,18 år,17
København,2017,Odsherred,18 år,4
København,2017,Ringsted,18 år,15
København,2017,Slagelse,18 år,6
København,2017,Soroe,18 år,8
København,2017,Stevns,18 år,6
København,2017,Vordingborg,18 år,8
København,2017,Assens,18 år,4
København,2017,Faaborg-Midtfyn,18 år,1
København,2017,Kerteminde,18 år,1
København,2017,Langeland,18 år,1
København,2017,Middelfart,18 år,1
København,2017,Nordfyns,18 år,4
København,2017,Nyborg,18 år,1
København,2017,Odense,18 år,6
København,2017,Svendborg,18 år,7
København,2017,Aeroe,18 år,2
København,2017,Billund,18 år,0
København,2017,Esbjerg,18 år,4
København,2017,Fanoe,18 år,0
København,2017,Fredericia,18 år,0
København,2017,Haderslev,18 år,2
København,2017,Kolding,18 år,3
København,2017,Soenderborg,18 år,2
København,2017,Toender,18 år,3
København,2017,Varde,18 år,3
København,2017,Vejen,18 år,0
København,2017,Vejle,18 år,1
København,2017,Aabenraa,18 år,4
København,2017,Favrskov,18 år,0
København,2017,Hedensted,18 år,0
København,2017,Horsens,18 år,1
København,2017,Norddjurs,18 år,4
København,2017,Odder,18 år,0
København,2017,Randers,18 år,4
København,2017,Samsoe,18 år,0
København,2017,Silkeborg,18 år,2
København,2017,Skanderborg,18 år,1
København,2017,Syddjurs,18 år,3
København,2017,Aarhus,18 år,6
København,2017,Herning,18 år,2
København,2017,Holstebro,18 år,3
København,2017,Ikast-Brande,18 år,1
København,2017,Lemvig,18 år,0
København,2017,Ringkoebing-Skjern,18 år,3
København,2017,Skive,18 år,0
København,2017,Struer,18 år,0
København,2017,Viborg,18 år,6
København,2017,Broenderslev,18 år,1
København,2017,Frederikshavn,18 år,3
København,2017,Hjoerring,18 år,0
København,2017,Jammerbugt,18 år,2
København,2017,Laesoe,18 år,0
København,2017,Mariagerfjord,18 år,0
København,2017,Morsoe,18 år,0
København,2017,Rebild,18 år,2
København,2017,Thisted,18 år,2
København,2017,Vesthimmerlands,18 år,2
København,2017,Aalborg,18 år,7
